"df","AICc","deltaAICc","loglike","k","model"
4,2867.732,496.339,-1429.805,332,0
9,2784.734,413.34,-1383.087,332,3
7,2784.193,412.8,-1384.924,332,1
10,2783.599,412.205,-1381.457,332,10
8,2782.544,411.15,-1383.049,332,5
8,2781.967,410.573,-1382.761,332,4
11,2781.323,409.93,-1379.249,332,13
9,2780.236,408.842,-1380.838,332,9
9,2379.352,7.958,-1180.397,332,2
11,2377.884,6.49,-1177.529,332,7
10,2376.079,4.685,-1177.697,332,8
12,2375.479,4.086,-1175.251,332,14
12,2375.067,3.673,-1175.044,332,11
10,2374.828,3.434,-1177.071,332,6
11,2372.058,0.665,-1174.617,332,12
13,2371.394,0,-1172.125,332,15
